1,0111001293,0111019001,1713,001180286,09-Apr-2022,100020,1,A0319,Nos,4.0,155.0,620.0
2,0111001293,0111002017,1713,001180287,09-Apr-2022,100136,1,A0319,Nos,6.0,155.0,930.0
3,0111001293,0111009002,1713,001180289,09-Apr-2022,100022,1,A0319,Nos,6.0,155.0,930.0
4,0111001293,0111014001,1713,001180290,09-Apr-2022,100091,1,A0319,Nos,6.0,155.0,930.0
5,0111001293,0111029001,1713,001180292,09-Apr-2022,100016,1,A0319,Nos,4.0,155.0,620.0
6,0111001293,0101007003,1713,001180293,09-Apr-2022,100081,1,A0319,Nos,6.0,155.0,930.0
7,0111001293,0111001239,1713,001180296,09-Apr-2022,100020,1,A0319,Nos,6.0,155.0,930.0
8,0111001293,0111002018,1713,001180297,09-Apr-2022,100131,1,A0319,Nos,6.0,155.0,930.0
9,0111001293,0111003001,1713,001180298,09-Apr-2022,100088,1,A0319,Nos,6.0,155.0,930.0
10,0111001293,0111004011,1713,001180299,09-Apr-2022,100023,1,A0319,Nos,6.0,155.0,930.0
11,0111001293,0111009001,1713,001180301,09-Apr-2022,100021,1,A0319,Nos,4.0,155.0,620.0
12,0111001293,0111009003,1713,001180302,09-Apr-2022,100135,1,A0319,Nos,6.0,155.0,930.0
13,0111001293,0111009004,1713,001180303,09-Apr-2022,100022,1,A0319,Nos,6.0,155.0,930.0
14,0111001293,0111015001,1713,001180308,09-Apr-2022,100120,1,A0319,Nos,6.0,155.0,930.0
15,0111001293,0111016001,1713,001180309,09-Apr-2022,100082,1,A0319,Nos,6.0,155.0,930.0
16,0111001293,0111018001,1713,001180310,09-Apr-2022,100093,1,A0319,Nos,6.0,155.0,930.0
17,0111001293,0111022001,1713,001180311,09-Apr-2022,100025,1,A0319,Nos,6.0,155.0,930.0
18,0111001293,0111024001,1713,001180313,09-Apr-2022,100116,1,A0319,Nos,6.0,155.0,930.0
19,0111001293,0111028001,1713,001180314,09-Apr-2022,100084,1,A0319,Nos,6.0,155.0,930.0
20,0113001242,0113001280,1697,001180611,08-Apr-2022,2684,16,A0319,Nos,4.0,155.0,620.0
21,0113001242,0113001280,1697,001180611,08-Apr-2022,2684,16,A0882,Nos,86.0,13.75,1182.5
22,0113001242,0113001280,1697,001180611,08-Apr-2022,2684,16,A614,Kg,2.0,122.5,245.0
23,0113001242,0113001280,1697,001180611,08-Apr-2022,2684,16,D823,Nos,36.0,22.58,812.88
